ENSG00000290825,DDX11L2
ENSG00000223972,DDX11L1
ENSG00000227232,WASH7P
ENSG00000278267,MIR6859-1
ENSG00000243485,MIR1302-2HG
ENSG00000284332,MIR1302-2
ENSG00000237613,FAM138A
ENSG00000268020,OR4G4P
ENSG00000290826,ENSG00000290826
ENSG00000240361,OR4G11P
ENSG00000186092,OR4F5
ENSG00000238009,ENSG00000238009
ENSG00000239945,ENSG00000239945
ENSG00000233750,CICP27
ENSG00000268903,ENSG00000268903
ENSG00000269981,ENSG00000269981
ENSG00000239906,ENSG00000239906
ENSG00000241860,ENSG00000241860
ENSG00000222623,RNU6-1100P
ENSG00000241599,ENSG00000241599
ENSG00000279928,DDX11L17
ENSG00000279457,WASH9P
ENSG00000273874,MIR6859-2
ENSG00000228463,ENSG00000228463
ENSG00000286448,ENSG00000286448
ENSG00000236679,RPL23AP24
ENSG00000236601,ENSG00000236601
ENSG00000290385,ENSG00000290385
ENSG00000269732,WBP1LP7
ENSG00000284733,OR4F29
ENSG00000237094,ENSG00000237094
ENSG00000233653,CICP7
ENSG00000250575,ENSG00000250575
ENSG00000278757,U6
ENSG00000230021,ENSG00000230021
ENSG00000235146,ENSG00000235146
ENSG00000225972,MTND1P23
ENSG00000225630,MTND2P28
ENSG00000237973,MTCO1P12
ENSG00000278791,ENSG00000278791
ENSG00000229344,MTCO2P12
ENSG00000240409,MTATP8P1
ENSG00000248527,MTATP6P1
ENSG00000198744,MTCO3P12
ENSG00000268663,WBP1LP6
ENSG00000284662,OR4F16
ENSG00000229376,CICP3
ENSG00000291215,ENSG00000291215
ENSG00000223181,RNU6-1199P
ENSG00000229905,ENSG00000229905
ENSG00000228327,ENSG00000228327
ENSG00000237491,LINC01409
ENSG00000285268,ENSG00000285268
ENSG00000290784,ENSG00000290784
ENSG00000230092,ENSG00000230092
ENSG00000177757,FAM87B
ENSG00000225880,LINC00115
ENSG00000228794,LINC01128
ENSG00000288531,ENSG00000288531
ENSG00000230368,FAM41C
ENSG00000234711,TUBB8P11
ENSG00000283040,ENSG00000283040
ENSG00000272438,ENSG00000272438
ENSG00000230699,ENSG00000230699
ENSG00000241180,ENSG00000241180
ENSG00000223764,LINC02593
ENSG00000187634,SAMD11
ENSG00000188976,NOC2L
ENSG00000187961,KLHL17
ENSG00000187583,PLEKHN1
ENSG00000187642,PERM1
ENSG00000272512,ENSG00000272512
ENSG00000188290,HES4
ENSG00000187608,ISG15
ENSG00000231702,ENSG00000231702
ENSG00000224969,ENSG00000224969
ENSG00000188157,AGRN
ENSG00000242590,ENSG00000242590
ENSG00000291156,ENSG00000291156
ENSG00000273443,ENSG00000273443
ENSG00000217801,ENSG00000217801
ENSG00000237330,RNF223
ENSG00000131591,C1orf159
ENSG00000285812,ENSG00000285812
ENSG00000223823,LINC01342
ENSG00000207730,MIR200B
ENSG00000207607,MIR200A
ENSG00000198976,MIR429
ENSG00000272141,ENSG00000272141
ENSG00000205231,TTLL10-AS1
ENSG00000162571,TTLL10
ENSG00000186891,TNFRSF18
ENSG00000186827,TNFRSF4
ENSG00000078808,SDF4
ENSG00000176022,B3GALT6
ENSG00000184163,C1QTNF12
ENSG00000260179,ENSG00000260179
ENSG00000160087,UBE2J2
ENSG00000230415,LINC01786
ENSG00000162572,SCNN1D
ENSG00000131584,ACAP3
ENSG00000278073,MIR6726
ENSG00000169972,PUSL1
ENSG00000127054,INTS11
ENSG00000283712,MIR6727
ENSG00000240731,ENSG00000240731
ENSG00000224051,CPTP
ENSG00000169962,TAS1R3
ENSG00000107404,DVL1
ENSG00000284372,MIR6808
ENSG00000162576,MXRA8
ENSG00000175756,AURKAIP1
ENSG00000223663,NDUFB4P8
ENSG00000221978,CCNL2
ENSG00000224870,MRPL20-AS1
ENSG00000242485,MRPL20
ENSG00000264293,RN7SL657P
ENSG00000272455,MRPL20-DT
ENSG00000235098,ANKRD65
ENSG00000225905,ANKRD65-AS1
ENSG00000205116,TMEM88B
ENSG00000225285,LINC01770
ENSG00000179403,VWA1
ENSG00000215915,ATAD3C
ENSG00000160072,ATAD3B
ENSG00000290916,ENSG00000290916
ENSG00000284740,ENSG00000284740
ENSG00000197785,ATAD3A
ENSG00000205090,TMEM240
ENSG00000160075,SSU72
ENSG00000215014,ENSG00000215014
ENSG00000274481,ENSG00000274481
ENSG00000228594,FNDC10
ENSG00000286989,ENSG00000286989
ENSG00000272106,ENSG00000272106
ENSG00000197530,MIB2
ENSG00000189409,MMP23B
ENSG00000248333,CDK11B
ENSG00000272004,ENSG00000272004
ENSG00000189339,SLC35E2B
ENSG00000269737,ENSG00000269737
ENSG00000215914,MMP23A
ENSG00000008128,CDK11A
ENSG00000268575,ENSG00000268575
ENSG00000227775,ENSG00000227775
ENSG00000290854,ENSG00000290854
ENSG00000215790,SLC35E2A
ENSG00000008130,NADK
ENSG00000078369,GNB1
ENSG00000231050,GNB1-DT
ENSG00000169885,CALML6
ENSG00000178821,TMEM52
ENSG00000142609,CFAP74
ENSG00000233542,ENSG00000233542
ENSG00000187730,GABRD
ENSG00000226969,PRKCZ-DT
ENSG00000067606,PRKCZ
ENSG00000271806,ENSG00000271806
ENSG00000182873,PRKCZ-AS1
ENSG00000162585,FAAP20
ENSG00000234396,ENSG00000234396
ENSG00000157933,SKI
ENSG00000287356,ENSG00000287356
ENSG00000116151,MORN1
ENSG00000272161,ENSG00000272161
ENSG00000269896,ENSG00000269896
ENSG00000272420,ENSG00000272420
ENSG00000157916,RER1
ENSG00000157911,PEX10
ENSG00000149527,PLCH2
ENSG00000224387,ENSG00000224387
ENSG00000229393,ENSG00000229393
ENSG00000157881,PANK4
ENSG00000197921,HES5
ENSG00000272449,ENSG00000272449
ENSG00000238164,TNFRSF14-AS1
ENSG00000157873,TNFRSF14
ENSG00000225931,ENSG00000225931
ENSG00000228037,ENSG00000228037
ENSG00000289610,ENSG00000289610
ENSG00000157870,PRXL2B
ENSG00000142606,MMEL1
ENSG00000237058,MMEL1-AS1
ENSG00000215912,TTC34
ENSG00000285945,ENSG00000285945
ENSG00000283259,ENSG00000283259
ENSG00000233234,ENSG00000233234
ENSG00000287396,ENSG00000287396
ENSG00000231630,ENSG00000231630
ENSG00000284745,ENSG00000284745
ENSG00000169717,ACTRT2
ENSG00000177133,PRDM16-DT
ENSG00000142611,PRDM16
ENSG00000283572,MIR4251
ENSG00000226286,ENSG00000226286
ENSG00000279839,ENSG00000279839
ENSG00000272235,ENSG00000272235
ENSG00000287828,ENSG00000287828
ENSG00000286518,ENSG00000286518
ENSG00000130762,ARHGEF16
ENSG00000272088,ENSG00000272088
ENSG00000162591,MEGF6
ENSG00000207776,MIR551A
ENSG00000238260,ENSG00000238260
ENSG00000158109,TPRG1L
ENSG00000116213,WRAP73
ENSG00000078900,TP73
ENSG00000227589,TP73-AS3
ENSG00000235131,TP73-AS2
ENSG00000227372,TP73-AS1
ENSG00000276189,ENSG00000276189
ENSG00000162592,CCDC27
ENSG00000235169,SMIM1
ENSG00000130764,LRRC47
ENSG00000266075,RN7SL574P
ENSG00000272153,ENSG00000272153
ENSG00000116198,CEP104
ENSG00000169598,DFFB
ENSG00000198912,C1orf174
ENSG00000236423,LINC01134
ENSG00000233304,LINC01346
ENSG00000226374,LINC01345
ENSG00000284668,LINC02780
ENSG00000284703,ENSG00000284703
ENSG00000229280,EEF1DP6
ENSG00000235054,LINC01777
ENSG00000284694,ENSG00000284694
ENSG00000227169,ENSG00000227169
ENSG00000232596,LINC01646
ENSG00000196581,AJAP1
ENSG00000287586,ENSG00000287586
ENSG00000284739,ENSG00000284739
ENSG00000284674,LINC02781
ENSG00000231510,LINC02782
ENSG00000284616,ENSG00000284616
ENSG00000284692,ENSG00000284692
ENSG00000284666,ENSG00000284666
ENSG00000260972,ENSG00000260972
ENSG00000283356,ENSG00000283356
ENSG00000236948,ENSG00000236948
ENSG00000264341,ENSG00000264341
ENSG00000289893,ENSG00000289893
ENSG00000264101,MIR4689
ENSG00000131697,NPHP4
ENSG00000069424,KCNAB2
ENSG00000116254,CHD5
ENSG00000285629,ENSG00000285629
ENSG00000116251,RPL22
ENSG00000226944,RNF207-AS1
ENSG00000158286,RNF207
ENSG00000116237,ICMT
ENSG00000225077,ICMT-DT
ENSG00000173673,HES3
ENSG00000158292,GPR153
ENSG00000097021,ACOT7
ENSG00000271746,ENSG00000271746
ENSG00000069812,HES2
ENSG00000187017,ESPN
ENSG00000265392,MIR4252
ENSG00000231868,ENSG00000231868
ENSG00000215788,TNFRSF25
ENSG00000171680,PLEKHG5
ENSG00000162408,NOL9
ENSG00000253022,RNU6-731P
ENSG00000229519,ENSG00000229519
ENSG00000173662,TAS1R1
ENSG00000204859,ZBTB48
ENSG00000162413,KLHL21
ENSG00000116273,PHF13
ENSG00000041988,THAP3
ENSG00000007923,DNAJC11
ENSG00000228750,LINC01672
ENSG00000284744,ENSG00000284744
ENSG00000237436,CAMTA1-DT
ENSG00000171735,CAMTA1
ENSG00000227950,ENSG00000227950
ENSG00000237365,CAMTA1-AS3
ENSG00000207056,RNU1-8P
ENSG00000237402,CAMTA1-IT1
ENSG00000237728,CAMTA1-AS2
ENSG00000225126,CAMTA1-AS1
ENSG00000270171,ENSG00000270171
ENSG00000270035,ENSG00000270035
ENSG00000269978,ENSG00000269978
ENSG00000049245,VAMP3
ENSG00000269925,ENSG00000269925
ENSG00000049246,PER3
ENSG00000236266,ENSG00000236266
ENSG00000049247,UTS2
ENSG00000049249,TNFRSF9
ENSG00000270330,ENSG00000270330
ENSG00000116288,PARK7
ENSG00000200344,Y_RNA
ENSG00000284747,ENSG00000284747
ENSG00000284716,ENSG00000284716
ENSG00000116285,ERRFI1
ENSG00000238290,ERRFI1-DT
ENSG00000232848,RPL7AP18
ENSG00000229305,ENSG00000229305
ENSG00000288816,ENSG00000288816
ENSG00000227634,LINC01714
ENSG00000200975,RNU1-7P
ENSG00000233645,ENSG00000233645
ENSG00000251977,RNU6-991P
ENSG00000162426,SLC45A1
ENSG00000252254,Y_RNA
ENSG00000142599,RERE
ENSG00000232912,RERE-AS1
ENSG00000221083,ENSG00000221083
ENSG00000270282,ENSG00000270282
ENSG00000234619,RPL7P11
ENSG00000224315,RPL7P7
ENSG00000222511,Y_RNA
ENSG00000226545,ENSG00000226545
ENSG00000228423,ENSG00000228423
ENSG00000229716,RPL23AP19
ENSG00000074800,ENO1
ENSG00000274258,MIR6728
ENSG00000230679,ENO1-AS1
ENSG00000201725,RNU6-304P
ENSG00000238249,HMGN2P17
ENSG00000232208,ENSG00000232208
ENSG00000232663,ENSG00000232663
ENSG00000131686,CA6
ENSG00000290109,ENSG00000290109
ENSG00000265141,RN7SL451P
ENSG00000197241,SLC2A7
ENSG00000142583,SLC2A5
ENSG00000252404,ENSG00000252404
ENSG00000180758,GPR157
ENSG00000228526,MIR34AHG
ENSG00000284357,MIR34A
ENSG00000289914,ENSG00000289914
ENSG00000234546,LNCTAM34A
ENSG00000049239,H6PD
ENSG00000171621,SPSB1
ENSG00000284652,ENSG00000284652
ENSG00000284693,LINC02606
ENSG00000252956,RNA5SP40
ENSG00000235263,ENSG00000235263
ENSG00000171612,SLC25A33
ENSG00000231181,ENSG00000231181
ENSG00000188807,TMEM201
ENSG00000171608,PIK3CD
ENSG00000179840,PIK3CD-AS1
ENSG00000233268,ENSG00000233268
ENSG00000231789,PIK3CD-AS2
ENSG00000171603,CLSTN1
ENSG00000271264,MZT1P1
ENSG00000280113,ENSG00000280113
ENSG00000178585,CTNNBIP1
ENSG00000223989,ENSG00000223989
ENSG00000285701,ENSG00000285701
ENSG00000162441,LZIC
ENSG00000228150,ENSG00000228150
ENSG00000173614,NMNAT1
ENSG00000202415,RN7SKP269
ENSG00000283611,TMEM274P
ENSG00000265521,MIR5697
ENSG00000241326,ENSG00000241326
ENSG00000162444,RBP7
ENSG00000130939,UBE4B
ENSG00000224340,RPL21P21
ENSG00000233623,PGAM1P11
ENSG00000201746,RNU6-828P
ENSG00000054523,KIF1B
ENSG00000264881,ENSG00000264881
ENSG00000199562,RNU6-37P
ENSG00000264501,RN7SL731P
ENSG00000284735,ENSG00000284735
ENSG00000284642,ENSG00000284642
ENSG00000142657,PGD
ENSG00000271989,ENSG00000271989
ENSG00000251503,CENPS-CORT
ENSG00000175279,CENPS
ENSG00000241563,CORT
ENSG00000160049,DFFA
ENSG00000203469,ENSG00000203469
ENSG00000142655,PEX14
ENSG00000287727,ENSG00000287727
ENSG00000243267,RN7SL614P
ENSG00000130940,CASZ1
ENSG00000272078,ENSG00000272078
ENSG00000225158,HSPE1P24
ENSG00000175262,C1orf127
ENSG00000215785,CFL1P6
ENSG00000120948,TARDBP
ENSG00000009724,MASP2
ENSG00000116649,SRM
ENSG00000171824,EXOSC10
ENSG00000226849,ENSG00000226849
ENSG00000230337,EXOSC10-AS1
ENSG00000198793,MTOR
ENSG00000225602,MTOR-AS1
ENSG00000253086,RNU6-537P
ENSG00000171819,ANGPTL7
ENSG00000207451,RNU6-291P
ENSG00000238173,RPL39P6
ENSG00000120942,UBIAD1
ENSG00000238199,UBE2V2P3
ENSG00000284646,ENSG00000284646
ENSG00000224338,MTCYBP45
ENSG00000204624,DISP3
ENSG00000285833,ENSG00000285833
ENSG00000235643,LINC01647
ENSG00000284708,ENSG00000284708
ENSG00000116661,FBXO2
ENSG00000132879,FBXO44
ENSG00000116670,MAD2L2
ENSG00000116663,FBXO6
