,
U6,
ZNF692,Zfp692
ZNF672,Zfp672
SH3BP5L,Sh3bp5l
,Bend2
LYPD8,Lypd8
,Lypd8l
,1810065E05Rik
,Gm12253
,Lypd9
OR2T27,
,Or2t35
,
Y_RNA,Gm55481
OR2T10,
,
,
OR14I1,
,
OR9G1,Or9g20
,Or2t43
,Or2t29
,Or2t49
,Or2t47
,Or2t48
,Or2t46
,Or2t35
OR2T1,Or2t1
OR2T6,Or2t6
,
OR2M4,
,Or2t44
,
,Or2l13b
,Or2l13
,
,Or2l5
Y_RNA,
OR2L2,Or2l5
Y_RNA,
OR2L5,Or2l5
,Or2l5
Y_RNA,
,Or2l13b
,Or2l13
,Or2l5
Y_RNA,
,
,Or2t44
OR2W3,Or2w3
OR2W3,Or2w3b
TRIM58,Trim58
OR11L1,Or11l3
,Or2ab1
OR9H1P,Or9s18
OR1C1,
OR14K1,
OR14A2,Or14a260
OR14A2,Or14a257
OR14A2,Or14a256
OR14A2,Or14a259
OR14A2,Or14a258
OR6F1,Or6f1
OR13G1,Or13g1
,
GCSAML,
OR2C3,
,
OR2B11,Or2b11
NLRP3,Nlrp3
,
ZNF496,Zkscan17
Y_RNA,
,
,
,Zfp738
,Zfp953
,Zfp457
,Zfp595
ZNF124,Zfp78
,
,Zfp78
ZNF670,
,
,
Metazoa_SRP,
AHCTF1,Ahctf1
,
,
SCCPDH,Sccpdh
,
,
5S_rRNA,n-R5s115
U6,Gm55922
U6,Gm25609
,
5S_rRNA,
5S_rRNA,n-R5s100
Metazoa_SRP,
Metazoa_SRP,
5S_rRNA,
5S_rRNA,
5S_rRNA,n-R5s144
5S_rRNA,Gm25212
5S_rRNA,n-R5s110
5S_rRNA,
5S_rRNA,n-R5s121
,
U6,Gm24131
Metazoa_SRP,
U6,Gm24887
Metazoa_SRP,
U1,
,
U1,Gm24251
Y_RNA,
Metazoa_SRP,
U6,
,
,
,
Metazoa_SRP,
,
Y_RNA,
Metazoa_SRP,
Metazoa_SRP,
U6,Gm54826
Metazoa_SRP,
,
Metazoa_SRP,
,
,
,
,Psma3
,
,
Metazoa_SRP,
U6,
,
U6,
,
GJA8,Gja8
ID3,Id3
,
,
Metazoa_SRP,
,
CNST,Cnst
CCDC190,Ccdc190
,
,
TFB2M,Tfb2m
,
,
Y_RNA,
Y_RNA,
SMYD3,Smyd3
U6,
NPR1,Npr1
KIF26B,Kif26b
,
Metazoa_SRP,
Metazoa_SRP,
U1,
SH2D5,Sh2d5
EFCAB2,Efcab2
Metazoa_SRP,
U6,
